serial_number,qid,intermediate_lang,query,translated,sample
0,QA20CAPR-0003,英語,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,ラスティケロがマルコ・ポーロから聞いた物語の集まりとして記述されることができる仕事は何ですか？,マルコ・ポーロの東方見聞録。ラスティケロは、マルコ・ポーロが中国や日本を訪れた際に、彼の旅行記に記録された様々な出来事を説明しています。ラスティケロは、マルコ・ポーロの東方見聞録の重要な部分を要約して、マルコ・ポーロの旅行記の重要な部分を紹介しています。
1,QA20CAPR-0003,中国語,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,"作為一名語言翻譯員，我將把這個問題從中文翻譯成英文。問題是：

哪一部作品可以被稱為作家Rusty Kailo從Marco Polo那裡聽到的故事的編輯？",問題は、Marco Poloが創作した小説「The Seventh Sense」が、英語からイタリア語に翻譯されたかどうかです。答えは、はいです。
2,QA20CAPR-0003,フランス語,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,ラスティケロがマルコ・ポーロから聞いた物語の編纂と言える作品は何ですか？,『東方見聞録』。マルコ・ポーロは、中国や日本などのアジアの国々を訪れた旅行記で知られています。この本は、ヨーロッパに持ち帰られた東洋の国の文化や歴史を広く紹介しました。ラスティケロは、マルコ・ポーロの旅行記の編纂者とされています。
3,QA20CAPR-0003,ドイツ語,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,ルスティケロがマルコ・ポーロから聞いた物語の集まりとして言及されることができる仕事は何ですか？,マルコ・ポーロの東方見聞録。ルスティケロは、マルコ・ポーロが中国や日本を訪れた際に同行した人物です。彼は、これらの国々で見聞きしたことを広く書き留めました。ルスティケロはまた、マルコ・ポーロの旅行記を出版しました。マルコ・ポーロは、イタリア出身の探検家であり、東洋の国々に強い興味を持ち、多くの国々を訪れました。
4,QA20CAPR-0003,イタリア語,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,ラスティケロがマルコ・ポーロから聞いた物語の集まりとして定義できる作品は何ですか？,マルコ・ポーロは、ヴェネツィアやイタリア半島に旅行したイタリアの探検家であり、彼の著作『東方見聞録』は、アジアやヨーロッパの大部分を含む広大な地域を旅した旅行記です。ラスティケロは、マルコ・ポーロの著作から多くの物語を選び、それらを組み合わせることで、マルコ・ポーロの旅行記の集まりを作りました。ラスティケロは、マルコ・ポーロの旅行記の集まりを作ることで、マルコ・ポーロの旅行記のコレクションを作り上げています。
5,QA20CAPR-0003,韓国語,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,ルスティケッロがマルコ・ポーロから聞いた物語の集まりとして説明できる作品は何ですか？,『東方見聞録』は、マルコ・ポーロによって書かれた有名な旅行記です。この本は、アジアやヨーロッパの大部分を旅した旅行者によって書かれました。この本には、中国やインドなどの国々で見聞きした様々な文化や社会の慣習が描かれています。
6,QA20CAPR-0003,ポルトガル語,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,ラスティケロがマルコ・ポーロから聞いた物語の編纂と考えられる作品は何ですか？,『東方見聞録』は、マルコ・ポーロによって書かれたとされる有名な旅行記です。この本は、アジアやヨーロッパの大部分を広く旅したイタリアの貿易商によって書かれました。この本は、中国や日本などの国々について多くの情報を与えています。また、マルコ・ポーロは、インドやペルシャなど、西地中海周辺の地域についても多くの情報を伝えています。
7,QA20CAPR-0003,ロシア語,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,ラスティケロがマルコ・ポーロから聞いた物語の集まりと呼ばれる作品は何と言えますか？,マルコ・ポーロの東方見聞録。
8,QA20CAPR-0003,スペイン語,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,ラスティケロがマルコ・ポーロから聞いた物語の編纂と言える作品は何ですか？,『東方見聞録』。マルコ・ポーロは、中国や日本などのアジアの国々を訪れた旅行記で知られています。この本は、ヨーロッパに持ち帰られた東洋の国の文化や歴史を広く紹介しました。ラスティケロは、マルコ・ポーロが旅した国々の文化や歴史についての著作を多数執筆しています。
9,QA20CAPR-0005,英語,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,「殺し屋コメンダトーレ」「1Q84」「ノルウェイの森」などの小説の著者は誰ですか？」,村上春樹
10,QA20CAPR-0005,中国語,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,「騎士隊長殺人事件」、「1Q84」、そして「ノルウェイの森」といった小説の著者は誰ですか？」,村上春樹
