qid,question,answer,generated_answer,num_sentences,factuality,query,score_pr,score_re,score_f1,pr_score,re_score,f1_score
QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,クリオネ,マンタ,1,0,,,,,0.010718266169230321,0.015337069829305074,0.013062387704849361
QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,東方見聞録,『東方見聞録』です。,1,1,,,,,0.22139307260513308,0.34586126605669704,0.291037569443385
QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹,村上春樹,1,1,,,,,0.11555472811063108,0.2944690783818561,0.22320492863655106
QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,セットプレー,ゴールキック(Goal Kick)といいます。,1,0,,,,,0.2216161171595253,0.18768565456072553,0.20514191985130295
QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン,ビッグバン,1,1,,,,,0.0033210754394533276,0.0049841880798341814,0.004176328579584956
QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,表面張力,粘性抵抗力(ねばっこいりょく),1,0,,,,,0.3286435981591546,0.3024830102920532,0.319709159930547
QA20CAPR-0013,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,ムツゴロウ,ムツゴロウ,1,1,,,,,0.04820508956909187,0.06019046902656559,0.054748094081878765
QA20CAPR-0015,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,バブル経済,バブル経済,1,1,,,,,0.010328946510950836,0.010328946510950836,0.010328946510950836
QA20CAPR-0017,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,リチャード・ニクソン,ジェラルド・フォード。,1,1,,,,,0.009382096926371361,0.010390881697337026,0.009890969594319884
QA20CAPR-0019,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,杜撰,「粗忽」とは、間違いや手抜きを意味する言葉です。また、「粗末」とは、品質が低いことを意味します。これらの言葉は、宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表現するのに非常に適しています。,3,"0,0,0",,,,,"0.30254243214925125,0.30339878598848996,0.3179833014806111","0.2653501609961194,0.2952684581279754,0.27222090760866835","0.29211747845013947,0.30471714138984674,0.29852422873179124"
QA20CAPR-0021,毎年7月に「北海へそ祭り」が開催される、ラベンダー畑で有名な北海道の都市はどこでしょう?,富良野市,富良野市,1,1,,,,,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08
QA20CAPR-0023,元々は仏教における持国天・増長天・広目天・多聞天のことを指していた、ある集団の中で特に秀でた4人の人物を意味する言葉は何でしょう?,四天王,四天王寺金堂の四天王像。,1,0,,,,,0.16491718888282783,0.23329236904780037,0.20186362067858382
QA20CAPR-0025,テニスで、相手のサーブを返した打球により得点することを何というでしょう?,リターンエース,リターン・ザ・ボール,1,0,,,,,0.10085833470026631,0.11482649246851627,0.10801121195157351
QA20CAPR-0027,スズメ、イシ、キンメなどの種類がある、縁起物の魚は何でしょう?,鯛,金目鯛です。,1,0,,,,,0.1865374823411313,0.12708378831545536,0.16461641788482678
QA20CAPR-0029,『アルルの跳ね橋』や『ひまわり』などの作品で知られる、オランダの画家は誰でしょう?,フィンセント・ファン・ゴッホ,レンブラント・ファン・レイン,1,0,,,,,2.0816681711721685e-16,2.0816681711721685e-16,2.0816681711721685e-16
QA20CAPR-0031,総北高校に通う小野田坂道を主人公とする、渡辺航の自転車漫画は何でしょう?,弱虫ペダル,弱虫ペダルです。,1,1,,,,,1.986821693278351e-09,1.986821693278351e-09,1.986821693278351e-09
QA20CAPR-0033,提唱したドイツの統計学者の名に由来する、家計の支出に占める飲食費の割合を何というでしょう?,エンゲル係数,パーチェスファクター,1,0,,,,,0.3218246380488076,0.3249695658683774,0.32356059352556893
QA20CAPR-0035,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,マーガレット (雑誌),マーガレット・別冊マーガレットです。,1,0,,,,,0.2328224420547494,0.2088447729746492,0.22106124162674
QA20CAPR-0037,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ダイヤモンドヘッド,ダイヤモンドヘッド,1,1,,,,,2.0816681711721685e-16,2.0816681711721685e-16,2.0816681711721685e-16
QA20CAPR-0039,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,NPO,NGO(非政府組織) NGOとは、社会貢献やボランティア活動を目的とした非営利団体です。 一般的には、政府からの資金援助を受けずに運営される団体を指します。 非営利団体であるため、利益を追求せず、社会の改善に焦点を当てています。,3,"0,0,1",,,,,"0.11769397854804997,0.2509777943293253,0.2594757715861003","0.11451148788134252,0.2759720891714097,0.2644051273663835","0.11668445467948921,0.2640760322411859,0.26558633546034477"
