qid,question,answer,generated_answer,factuality,faithfulness,collapsed,Unnamed: 7,備考,query,score_pr,score_re,score_f1,pr_score,re_score,f1_score
QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,クリオネ,マンタレイ,0,1,,,,,,,,0.19861487547556536,0.18715051412582395,0.19300675988197302
QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,東方見聞録,"黄金の島 イタリア ヴェネツィア マルコ・ポーロは、1453年から1547年までヴェネツィア共和国の大使を務めていました。
ルスティケロは、ヴェネツィアの大使として、マルコ・ポーロから聞いた話をまとめました。
マルコ・ポーロは、ヴェネツィアの大使として、ヴェネツィアの文化や歴史について多くの著作を残しています。
したがって、正解はマルコ・ポーロです。
","0,0,0,0","1,1,1,1",,,,,,,,"0.29440065622329675,0.24761551618576016,0.2674731612205506,0.23172227144241336","0.19018621047337889,0.22118667165438294,0.22180716395378108,0.2993179500102999","0.24778118928273551,0.23683413465817793,0.24781350890795395,0.2679219861825311"
QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹,村上春樹,1,1,,,,,,,,2.0816681711721685e-16,2.0816681711721685e-16,2.0816681711721685e-16
QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,セットプレー,"ゴールキック(goal kick)といいます。
",0,1,,,,,,,,0.23915020227432235,0.20385877688725795,0.22475009163220683
QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン,"ビッグバン」といいます。
",1,1,,,,,,,,0.24481076002120927,0.13099884986877494,0.19189232587814375
QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,表面張力,粘性抵抗力(ねばっこり),0,1,,,,,,,,0.27788610657056206,0.20064581235249856,0.2413872281710311
QA20CAPR-0013,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,ムツゴロウ,ムツゴロウ,1,1,,,,,,,,0.06448795000712093,0.07942822575569167,0.07275752027829507
QA20CAPR-0015,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,バブル経済,バブル経済,1,1,,,,,,,,2.0816681711721685e-16,2.0816681711721685e-16,2.0816681711721685e-16
QA20CAPR-0017,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,リチャード・ニクソン,"ジェラルド・フォード。
",0,1,,,,,,,,0.018764175971349162,0.020781745513280395,0.019781921307246098
QA20CAPR-0019,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,杜撰,"粗雑」です。
",0,1,,,,,,,,0.27932719985644017,0.3624334832032523,0.32448992927869136
QA20CAPR-0021,毎年7月に「北海へそ祭り」が開催される、ラベンダー畑で有名な北海道の都市はどこでしょう?,富良野市,"富良野市です。
",1,1,,,,,,,,0.1804222981135056,0.09278225898742626,0.13883143266042075
QA20CAPR-0023,元々は仏教における持国天・増長天・広目天・多聞天のことを指していた、ある集団の中で特に秀でた4人の人物を意味する言葉は何でしょう?,四天王,"四天王寺金堂の四天王像。
",0,1,,,,,,,,0.24322557449340843,0.3419279019037874,0.2961898366610203
QA20CAPR-0025,テニスで、相手のサーブを返した打球により得点することを何というでしょう?,リターンエース,リターン・ザ・ボール・ゲーム,0,0.2,,LLMの回答はラグビー用語,,,,,,0.0438422799110416,0.03319401741027828,0.03856862783432003
QA20CAPR-0027,スズメ、イシ、キンメなどの種類がある、縁起物の魚は何でしょう?,鯛,"フグ類です。
",0,,,,,,,,,0.27134305834770167,0.2931226889292405,0.30336914857228514
QA20CAPR-0029,『アルルの跳ね橋』や『ひまわり』などの作品で知られる、オランダの画家は誰でしょう?,フィンセント・ファン・ゴッホ,レンブラント・ファン・レイン,0,,,,10になることなくね,,,,,0.010284582773844572,0.012531522909800433,0.011496559778849516
QA20CAPR-0031,総北高校に通う小野田坂道を主人公とする、渡辺航の自転車漫画は何でしょう?,弱虫ペダル,"弱虫ペダルです。
",1,1,,,,,,,,2.0816681711721685e-16,2.0816681711721685e-16,2.0816681711721685e-16
QA20CAPR-0033,提唱したドイツの統計学者の名に由来する、家計の支出に占める飲食費の割合を何というでしょう?,エンゲル係数,"エンゲル係数(または「食費」)とは、家庭における消費支出の測定値であり、所得と物価の関数です。
提唱者にちなんで名付けられました。
この指標は、所得と物価の変動に応じて増減します。
","0,1,1","1,1,1",,,,,,,,"0.34979956348737024,0.42394422888755834,0.39853110710779793","0.16840077837308295,0.4074008484681443,0.38462553620338513","0.2719961265722909,0.4158994634946189,0.39185515443483965"
QA20CAPR-0035,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,マーガレット (雑誌),"マーガレットコミックスです。
",0,1,,,,,,,,0.15730277697245262,0.11169818441073114,0.13513870636622166
QA20CAPR-0037,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ダイヤモンドヘッド,ダイヤモンドヘッド,1,1,,,,,,,,2.0816681711721685e-16,2.0816681711721685e-16,2.0816681711721685e-16
QA20CAPR-0039,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,NPO,"NGO(非政府組織)です。
",0,,,,,,,,,0.24877324302991244,0.303142249584198,0.28289517362912486
QA20CAPR-0041,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,パーマ大佐,くまモン,0,,,,,,,,,0.3423895299434663,0.36327878832817095,0.3552694360415147
QA20CAPR-0043,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,ヤドカリ,"ツノナシオシオグサガイ科の一種。
",0,0,,,,,,,,0.140355638662974,0.056816899776458166,0.10112776358922343
QA20CAPR-0045,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,熊本県,"熊本県です。
",1,1,,,,,,,,0.35402638912200923,0.4158541997273756,0.4018202135960261
