serial_number,qid,query,sample
0,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロ』は、イタリアの探検家マルコ・ポーロによって著された本です。彼は中国や日本に遠征し、中国や日本の文化や歴史について多くの著作を残しています。この本では、マルコ・ポーロによる旅行記や中国や日本への遠征に関する様々な情報が紹介されています。
1,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
2,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロの大航海』です。
3,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。 この作品は、マルコ・ポーロによって書かれたとされる有名な旅行記です。 この本は、アジアやヨーロッパなどの地域について書かれています。
4,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
5,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
6,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロ』は、イタリアの探検家マルコ・ポーロが、中国や日本への旅の途中で出会った様々な人々との出会いを綴った歴史小説です。この本は、マルコ・ポーロの幼少期からヴェネツィアでの暮らしを経て、日本への帰国までの過程を描いています。
7,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
8,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
9,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
